CPQ ID,Account ID,CreatedDate,Product Group, X36 MRC List , X36 NRR List , X36 NPV List ,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status
CPQ-000041,Acct-000026,10/5/16,Wavelengths - Long Haul," $2,679.49 "," $2,766.00 "," $23,959.78 ",Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network
CPQ-000042,Acct-000027,10/5/16,IP Services, $784.05 , $922.00 ," $13,492.84 ",Bldg-146958,Dallas,12222 Merit Dr,Dallas,TX,75251,236.8,On Zayo Network
CPQ-000043,Acct-000028,10/5/16,IP Services," $2,257.06 "," $9,220.00 "," $128,763.43 ",Bldg-132675,Dallas,1515 Round Table Dr,Dallas,TX,75247,251.05,On Zayo Network
CPQ-000044,Acct-000028,10/5/16,IP Services," $1,974.92 "," $9,220.00 "," $115,951.36 ",Bldg-132675,Dallas,1515 Round Table Dr,Dallas,TX,75247,251.05,On Zayo Network
CPQ-000045,Acct-000029,10/5/16,IP Services, $691.50 , $922.00 ," $11,113.23 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000046,Acct-000029,10/5/16,IP Services, $499.61 , $922.00 ," $12,685.24 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000047,Acct-000030,10/5/16,IP Services," $4,454.85 "," $4,610.00 "," $115,487.42 ",Bldg-134145,Dallas,1522 Viceroy Dr,Dallas,TX,75235,546.23,On Zayo Network
CPQ-000048,Acct-000031,10/5/16,IP Services," $1,040.65 ", $922.00 ," $19,524.32 ",Bldg-038061,Atlanta,101 Marietta St NW,Atlanta,GA,30303,95.82,On Zayo Network
CPQ-000049,Acct-000031,10/5/16,IP Services, $784.05 , $922.00 ," $13,492.84 ",Bldg-038061,Atlanta,101 Marietta St NW,Atlanta,GA,30303,95.82,On Zayo Network
CPQ-000050,Acct-000017,10/5/16,Ethernet," $1,223.37 "," $1,090.96 "," $26,565.05 ",Bldg-111204,Denver,6400 S Fiddlers Green Cir,Englewood,CO,80111,621.87,On Zayo Network
CPQ-000051,Acct-000032,10/5/16,Ethernet," $1,164.19 ", $922.00 ," $22,862.07 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000052,Acct-000016,10/5/16,Ethernet," $3,277.66 ", $922.00 ," $23,121.89 ",Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network
CPQ-000053,Acct-000033,10/5/16,IP Services, $549.57 , $922.00 ," $15,083.51 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000054,Acct-000034,10/5/16,Ethernet," $1,400.24 ", $461.00 ," $9,943.32 ",Bldg-494088,Dallas,14643 Dallas Pkwy,Dallas,TX,75254,227.74,Not on Zayo Network
CPQ-000055,Acct-000033,10/5/16,IP Services," $2,057.21 ", $922.00 ," $56,620.52 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000056,Acct-000034,10/5/16,Ethernet, $372.87 , $461.00 ," $5,825.21 ",Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
CPQ-000057,Acct-000033,10/5/16,IP Services, $549.57 , $922.00 ," $11,143.18 ",Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
CPQ-000058,Acct-000033,10/5/16,IP Services," $2,057.21 ", $922.00 ," $52,680.19 ",Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
CPQ-000059,Acct-000033,10/5/16,IP Services," $2,178.23 ", $922.00 ," $59,954.53 ",Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network
CPQ-000060,Acct-000035,10/5/16,Ethernet, $-   , $-   , $-   ,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000061,Acct-000033,10/5/16,IP Services, $581.89 , $922.00 ," $15,974.09 ",Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network
CPQ-000062,Acct-000035,10/5/16,Ethernet, $-   , $-   , $-   ,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
CPQ-000063,Acct-000034,10/5/16,Ethernet, $512.42 , $461.00 ," $8,769.87 ",Bldg-038126,Atlanta,200 Galleria Pkwy SE,Atlanta,GA,30339,428.12,On Zayo Network
CPQ-000064,Acct-000028,10/5/16,IP Services," $2,257.06 "," $9,220.00 "," $134,087.98 ",Bldg-132675,Dallas,1515 Round Table Dr,Dallas,TX,75247,251.05,On Zayo Network
CPQ-000065,Acct-000035,10/5/16,Ethernet," $1,512.58 ", $922.00 ," $38,031.50 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000066,Acct-000034,10/5/16,Ethernet," $3,008.49 ", $922.00 ," $67,037.81 ",Bldg-015325,Denver,4100 E Dry Creek Rd,Littleton,CO,80122,45.4,On Zayo Network
CPQ-000066,Acct-000034,10/5/16,Ethernet," $3,008.49 ", $922.00 ," $67,037.81 ",Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
CPQ-000067,Acct-000028,10/5/16,IP Services," $2,257.06 "," $9,220.00 "," $133,603.93 ",Bldg-132675,Dallas,1515 Round Table Dr,Dallas,TX,75247,251.05,On Zayo Network
CPQ-000068,Acct-000036,10/5/16,Wavelengths - Long Haul," $2,071.51 "," $2,766.00 "," $37,651.73 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000069,Acct-000037,10/5/16,IP Services," $2,468.66 ", $922.00 ," $63,115.64 ",Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,On Zayo Network
CPQ-000070,Acct-000038,10/5/16,Wavelengths - Metro, $705.96 ," $2,766.00 "," $16,060.64 ",Bldg-054725,Atlanta,1060 Techwood Dr NW,Atlanta,GA,30318,1340.72,On Zayo Network
CPQ-000070,Acct-000038,10/5/16,Wavelengths - Metro, $705.96 ," $2,766.00 "," $16,060.64 ",Bldg-038071,Atlanta,1100 White St SW,Atlanta,GA,30310,297.34,On Zayo Network
CPQ-000071,Acct-000037,10/5/16,IP Services, $659.49 , $922.00 ," $13,271.42 ",Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,On Zayo Network
CPQ-000072,Acct-000019,10/5/16,Ethernet, $-   , $-   , $-   ,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
CPQ-000073,Acct-000014,10/5/16,Wavelengths - Long Haul," $10,934.55 "," $2,766.00 ", $-   ,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
CPQ-000074,Acct-000039,10/5/16,Ethernet, $488.27 , $461.00 ," $11,923.10 ",Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,On Zayo Network
CPQ-000075,Acct-000040,10/5/16,IP Services," $2,934.96 ", $922.00 ," $64,050.28 ",Bldg-038191,Atlanta,3350 Riverwood Pkwy,Atlanta,GA,30339,227.65,On Zayo Network
CPQ-000076,Acct-000041,10/5/16,Wavelengths - Long Haul," $2,814.31 "," $2,858.20 ", $-   ,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
CPQ-000077,Acct-000042,10/5/16,Wavelengths - Long Haul," $2,929.56 "," $2,996.50 ", $-   ,Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,On Zayo Network
CPQ-000078,Acct-000009,10/5/16,Ethernet, $368.80 , $-   ," $3,341.33 ",Bldg-114878,Dallas,100 Crescent Ct,Dallas,TX,75201,472.74,On Zayo Network
CPQ-000079,Acct-000043,10/5/16,Wavelengths - Long Haul," $2,837.36 "," $2,766.00 ", $-   ,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
CPQ-000079,Acct-000043,10/5/16,Wavelengths - Long Haul," $2,837.36 "," $2,766.00 ", $-   ,Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network
CPQ-000080,Acct-000034,10/5/16,Wavelengths - Long Haul," $2,313.48 "," $2,766.00 ", $-   ,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
CPQ-000081,Acct-000043,10/5/16,Ethernet," $2,787.52 ", $-   ," $53,496.40 ",Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
CPQ-000081,Acct-000043,10/5/16,Ethernet," $2,787.52 ", $-   ," $53,496.40 ",Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network
CPQ-000082,Acct-000044,10/5/16,IP Services," $2,613.87 ", $922.00 ," $46,728.44 ",Bldg-084698,Denver,335 Inverness Dr S,Englewood,CO,80112,308.86,On Zayo Network
CPQ-000083,Acct-000045,10/5/16,Ethernet," $1,154.75 ", $922.00 ," $21,438.20 ",Bldg-127085,Dallas,2501 S TX-121 - Bldg 5,Lewisville,TX,75067,890.51,On Zayo Network
CPQ-000084,Acct-000046,10/5/16,IP Services, $732.76 , $922.00 ," $15,290.12 ",Bldg-109814,Dallas,8600 Harry Hines Blvd,Dallas,TX,75235,249.75,On Zayo Network
CPQ-000085,Acct-000036,10/5/16,Wavelengths - Long Haul," $1,979.31 "," $2,766.00 "," $37,738.42 ",Bldg-117716,Dallas,6653 Pinecrest Dr,Plano,TX,75024,535.09,On Zayo Network
CPQ-000086,Acct-000047,10/5/16,Ethernet," $3,376.20 ", $922.00 ," $82,009.11 ",Bldg-015325,Denver,4100 E Dry Creek Rd,Littleton,CO,80122,45.4,On Zayo Network
CPQ-000086,Acct-000047,10/5/16,Ethernet," $3,376.20 ", $922.00 ," $82,009.11 ",Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
CPQ-000087,Acct-000047,10/5/16,Wavelengths - Metro," $1,495.63 "," $2,858.20 "," $25,951.38 ",Bldg-015325,Denver,4100 E Dry Creek Rd,Littleton,CO,80122,45.4,On Zayo Network
CPQ-000087,Acct-000047,10/5/16,Wavelengths - Metro," $1,495.63 "," $2,858.20 "," $25,951.38 ",Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
CPQ-000088,Acct-000048,10/6/16,IP Services," $3,103.45 "," $13,830.00 "," $173,103.29 ",Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,On Zayo Network
CPQ-000089,Acct-000049,10/6/16,Ethernet," $1,022.81 "," $1,152.50 "," $18,553.66 ",Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network
CPQ-000090,Acct-000050,10/6/16,IP Services," $12,526.66 "," $4,610.00 "," $338,892.83 ",Bldg-016856,Atlanta,1033 Jefferson St NW,Atlanta,GA,30318,539.41,On Zayo Network
CPQ-000091,Acct-000051,10/6/16,IP Services, $775.86 , $922.00 ," $6,771.51 ",Bldg-133709,Denver,8636 S Peoria St,Englewood,CO,80112,89.57,On Zayo Network
CPQ-000092,Acct-000051,10/6/16,IP Services," $2,904.30 ", $922.00 ," $56,800.81 ",Bldg-133709,Denver,8636 S Peoria St,Englewood,CO,80112,89.57,On Zayo Network
CPQ-000093,Acct-000034,10/6/16,Ethernet," $1,320.71 ", $922.00 ," $28,805.02 ",Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
